1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
0,0,0,1,0,0,0,0,l,0,r,0,r,0,r,0,0,0,r,0
0,0,0,1,0,1,1,u,1,u,1,d,1,d,1,u,1,1,1,0
0,1,0,1,0,0,1,0,0,0,l,0,0,0,0,0,0,0,1,0
0,1,d,1,0,0,1,1,1,u,1,1,1,1,1,1,u,1,1,0
5,1,0,r,0,0,0,0,r,0,l,0,r,0,l,0,0,0,1,0
1,1,1,1,1,d,1,1,1,u,1,u,1,u,1,u,1,u,1,0
1,1,1,1,1,3,5,1,0,0,5,0,0,0,0,0,0,0,1,2
1,1,1,1,1,1,1,1,d,1,1,1,u,1,1,1,u,1,1,1
1,1,1,1,1,0,l,0,0,0,l,0,0,0,r,0,0,0,1,1
0,0,0,0,1,u,1,d,1,d,1,d,1,u,1,u,1,u,1,1
0,0,0,0,r,0,r,5,r,0,l,0,r,0,r,0,r,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a,A,b,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1
