1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A,0,0,0,0,0,0,0,1,B,0,0,0,0,1,0,0,0,0,2
1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,4,0,0,0,0,1,4,0,4,4,4,1,0,0,0,4,1
1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,1,1,0,4,1
1,0,4,4,4,4,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,0,4,0,0,0,4,0,1,4,4,0,4,4,1,0,1,0,0,1
1,0,0,0,4,0,0,4,1,0,0,0,0,0,1,0,4,0,1,1
1,1,1,1,1,1,0,4,1,0,0,0,0,0,1,0,0,0,4,1
0,0,0,0,0,1,0,4,1,4,0,4,4,4,1,0,1,1,1,1
0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,4,1,4,4,0,4,4,1,1,1,1,1,0
b,0,0,0,a,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1
