1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,1,1,1,A,0,0,0,0,b,1,0,2
0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
4,0,4,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,u
0,0,0,1,1,0,4,1,1,1,1,0,0,0,0,0,5,1,0,0
0,4,0,1,0,0,1,1,1,1,1,u,u,u,1,1,1,1,u,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,a,4,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,u
1,1,1,1,1,1,1,1,0,0,1,4,0,4,0,0,0,1,0,0
0,0,0,0,0,0,4,4,0,0,1,1,1,1,1,1,0,1,u,1
0,0,0,4,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0
0,0,0,4,0,1,0,1,u,1,1,0,0,0,0,0,0,1,1,u
0,0,1,0,1,1,0,0,0,1,1,3,0,4,0,4,0,1,B,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0





